pair_id,euclidean_mean,euclidean_std,euclidean_cov,geodesic_mean,geodesic_std,geodesic_cov
0,0.519046425819397,0.022082440555095673,0.042544249445199966,1.2889455385499429,0.06406028230970258,0.049699758751459794
1,0.2106875628232956,0.07451121509075165,0.35365739464759827,1.203011942359971,0.07361499454602255,0.06119223920721073
2,0.5133528709411621,0.04294966533780098,0.08366499841213226,1.2702418318378776,0.04952402018516117,0.03898786746261241
3,0.0969742015004158,0.04269801080226898,0.4403027892112732,1.1942029690430531,0.08063261121279842,0.06752002239402528
4,3.9717888832092285,0.3189595937728882,0.0803062841296196,3.5580716675703123,0.12669094554533775,0.03560663117048756
5,1.976480484008789,0.08680053800344467,0.043916717171669006,2.3755460132015456,0.10718653098771803,0.045120797657487485
6,2.6118617057800293,0.18689757585525513,0.07155722379684448,2.4412718431905303,0.09338967785129515,0.03825451807498953
7,1.8285576105117798,0.38138335943222046,0.20857059955596924,2.991331767093275,0.3612697479136669,0.12077220985244258
8,1.1516095399856567,0.15781381726264954,0.13703760504722595,1.724055178168885,0.11054229968845553,0.06411761125062264
9,0.5066177845001221,0.07230327278375626,0.14271759986877441,1.5295135503147876,0.09588207289047912,0.06268795256553675
10,1.9807865619659424,0.6592428088188171,0.3328186869621277,2.649663914404362,0.5508615000980432,0.20789863088046606
11,1.715052604675293,0.2617710530757904,0.1526315063238144,3.1886702067129695,0.46745953354002806,0.14660015092056422
12,2.5293211936950684,0.21491894125938416,0.08497099578380585,3.2562767847133975,0.09745061565408802,0.029927006239632414
13,2.3282694816589355,0.20673245191574097,0.08879232406616211,3.5525734379338543,0.277296902693354,0.07805522040231981
14,1.842850923538208,0.1376650631427765,0.07470222562551498,3.4986417511967693,0.34972509108801014,0.09996024627796796
15,3.7766671180725098,1.0293400287628174,0.272552490234375,4.354577977861078,0.620367546010498,0.14246329935173555
16,3.8754303455352783,0.29522132873535156,0.0761776864528656,5.571240845064359,0.32988819303996425,0.05921269645562296
17,2.6418673992156982,0.1835479587316513,0.06947659701108932,4.523300564709946,0.30757563352393635,0.06799805343991318
18,2.9527316093444824,0.1228976771235466,0.04162168875336647,4.431930069210817,0.21708057125862223,0.048981046151135965
19,4.977809429168701,0.3022288382053375,0.06071522831916809,6.364711614072311,0.12752118243036312,0.020035657569844188
20,4.805960655212402,0.26566725969314575,0.05527869984507561,6.43228733527144,0.2423060967843642,0.03767028494757674
21,4.916197776794434,0.2609882056713104,0.05308740958571434,6.59263384409673,0.2758546288080471,0.04184285603166886
22,4.797331809997559,0.247220978140831,0.05153301730751991,6.425259264513099,0.26040347557647187,0.04052808841733253
23,3.3955447673797607,0.7694479823112488,0.22660516202449799,4.491023585740634,0.4595008137548332,0.10231538645528065
24,4.860918998718262,0.24408046901226044,0.05021282285451889,6.52300485974042,0.2613026502402557,0.04005863185124993
